City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Mumford,GH,2021-08-15 01:47:59,5.2618,-0.759,73.89,88,34,9.24
277,Nanortalik,GL,2021-08-15 01:48:00,60.1432,-45.2371,48.11,98,100,4.63
278,Glasgow,GB,2021-08-15 01:46:17,55.8652,-4.2576,54.46,93,20,3.44
279,Namibe,AO,2021-08-15 01:48:00,-15.1961,12.1522,64.62,91,23,2.37
280,Havelock,US,2021-08-15 01:48:01,34.8791,-76.9013,82.94,89,100,7.61
281,Bilma,NE,2021-08-15 01:48:01,18.6853,12.9164,90.14,30,90,8.01
282,Namtsy,RU,2021-08-15 01:48:01,62.7161,129.6658,66.31,72,100,4.83
283,Sabla,NG,2021-08-15 01:48:02,12.7525,4.7077,76.21,83,70,11.14
284,Kaputa,ZM,2021-08-15 01:48:02,-8.4689,29.6619,66.78,48,0,5.99
285,Kismayo,SO,2021-08-15 01:48:03,-0.3582,42.5454,74.62,83,33,17.0
286,Iqaluit,CA,2021-08-15 01:48:03,63.7506,-68.5145,47.93,81,90,8.05
287,Te Anau,NZ,2021-08-15 01:48:04,-45.4167,167.7167,45.14,94,100,6.87
288,Anshun,CN,2021-08-15 01:48:04,26.25,105.9333,64.8,97,100,6.85
289,Nadym,RU,2021-08-15 01:48:04,65.5333,72.5167,62.71,66,1,22.46
290,Port Hardy,CA,2021-08-15 01:48:05,50.6996,-127.4199,69.98,73,75,6.91
291,Conselheiro Pena,BR,2021-08-15 01:48:05,-19.1722,-41.4722,70.72,61,1,3.22
292,Dudinka,RU,2021-08-15 01:48:06,69.4058,86.1778,56.68,86,100,18.57
293,Honiara,SB,2021-08-15 01:48:06,-9.4333,159.95,83.91,79,62,6.71
