City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Bentiu,SS,9.2333,29.8333,72.72,91,89,3.74,overcast clouds
140,Tome,CL,-36.6167,-72.95,52.41,92,85,5.88,overcast clouds
141,Saint George,US,37.1041,-113.5841,86.63,42,40,3.0,scattered clouds
142,Waipawa,NZ,-41.4122,175.5153,54.23,65,9,12.33,clear sky
143,Margate,GB,51.3813,1.3862,61.92,80,84,1.01,broken clouds
144,Adrar,MR,20.5022,-10.0711,88.63,38,85,8.25,overcast clouds
145,Moussoro,TD,13.6408,16.4901,72.54,85,100,18.92,overcast clouds
146,Charters Towers,AU,-20.1,146.2667,78.37,16,0,7.43,clear sky
147,San Patricio,US,28.017,-97.5169,87.69,75,87,17.98,overcast clouds
148,Belozerskoye,RU,55.8214,65.5842,73.33,46,78,5.55,broken clouds
149,Moron,AR,-34.6534,-58.6198,57.79,97,100,4.0,overcast clouds
150,Kahului,US,20.8947,-156.47,80.62,77,40,18.41,light rain
151,Sistranda,NO,63.7256,8.834,53.91,76,100,24.96,overcast clouds
152,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,0,5.93,clear sky
153,Xai-Xai,MZ,-25.0519,33.6442,65.35,76,0,13.35,clear sky
154,Khatanga,RU,71.9667,102.5,53.1,50,100,5.44,overcast clouds
155,Mana,GF,5.6592,-53.7767,76.33,90,33,6.4,scattered clouds
156,Labuan,MY,5.2767,115.2417,84.56,79,20,5.75,few clouds
157,Koumac,NC,-20.5667,164.2833,73.29,73,100,5.82,overcast clouds
158,Tiznit,MA,29.5833,-9.5,72.27,44,0,2.8,clear sky
159,Yingkou,CN,40.6648,122.2283,82.62,55,29,11.81,light rain
160,Nhulunbuy,AU,-12.2333,136.7667,83.01,61,75,16.11,broken clouds
161,Paramonga,PE,-10.6667,-77.8333,61.86,88,21,11.32,few clouds
162,Shenkursk,RU,62.1091,42.896,64.26,93,89,6.06,overcast clouds
163,Ola,RU,59.5833,151.2833,55.71,90,99,11.23,overcast clouds
164,Kjollefjord,NO,70.9457,27.3465,48.02,93,75,23.02,broken clouds
165,Ribeira Grande,PT,38.5167,-28.7,73.67,90,93,11.01,overcast clouds
166,Mount Gambier,AU,-37.8333,140.7667,61.9,54,18,9.04,few clouds
167,Benguela,AO,-12.5763,13.4055,69.66,87,76,3.24,broken clouds
168,Jiaocheng,CN,24.6774,116.1389,90.7,55,88,4.45,overcast clouds
169,Hualmay,PE,-11.0964,-77.6139,61.59,86,22,11.95,few clouds
170,Porto Santo,PT,33.072,-16.3415,70.18,83,20,9.22,few clouds
171,Mujiayingzi,CN,42.1167,118.7833,63.66,93,100,5.95,moderate rain
172,Tasiilaq,GL,65.6145,-37.6368,42.96,92,100,2.51,overcast clouds
173,Dedougou,BF,12.4667,-3.4667,72.48,93,97,4.83,overcast clouds
174,Iskateley,RU,67.6803,53.1512,49.68,73,100,14.18,overcast clouds
175,Brae,GB,60.3964,-1.353,53.51,86,19,11.21,few clouds
176,Sola,VU,-13.8833,167.55,79.95,77,10,14.88,clear sky
177,Ostrovnoy,RU,68.0531,39.5131,58.44,89,100,11.63,overcast clouds
178,Sao Filipe,CV,14.8961,-24.4956,77.94,84,91,3.29,overcast clouds
179,Qaanaaq,GL,77.484,-69.3632,38.86,90,99,2.3,overcast clouds
180,Yaan,NG,7.3833,8.5667,69.69,98,100,3.69,light rain
181,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,79.39,47,40,6.71,scattered clouds
182,Butaritari,KI,3.0707,172.7902,82.85,74,99,10.98,light rain
183,La Rioja,ES,42.25,-2.5,53.38,97,7,3.0,clear sky
184,Clyde River,CA,70.4692,-68.5914,39.33,91,100,6.85,overcast clouds
185,Mahebourg,MU,-20.4081,57.7,73.26,73,75,12.66,broken clouds
186,Nguruka,TZ,-5.1092,31.0419,64.8,62,11,2.59,few clouds
